iter	Passed	Remaining
677	4946	2349
678	4952	2341
679	4959	2334
680	4966	2326
681	4973	2319
682	4980	2311
683	4988	2304
684	4994	2296
685	5001	2289
686	5008	2281
687	5014	2274
688	5022	2266
689	5028	2259
690	5038	2252
691	5044	2245
692	5052	2238
693	5058	2230
694	5065	2223
695	5072	2215
696	5079	2208
697	5086	2200
698	5092	2193
699	5099	2185
700	5106	2177
701	5112	2170
702	5121	2163
703	5127	2155
704	5135	2148
705	5141	2141
706	5147	2133
707	5155	2126
708	5161	2118
709	5169	2111
710	5175	2103
711	5182	2096
712	5188	2088
713	5194	2080
714	5202	2073
715	5208	2065
716	5216	2059
717	5222	2051
718	5229	2043
719	5236	2036
720	5243	2028
721	5250	2021
722	5256	2013
723	5265	2007
724	5273	2000
725	5281	1993
726	5289	1986
727	5297	1979
728	5303	1971
729	5310	1964
730	5317	1956
731	5323	1948
732	5330	1941
733	5336	1934
734	5344	1926
735	5350	1919
736	5357	1911
737	5364	1904
738	5370	1896
739	5377	1889
740	5384	1881
741	5390	1874
742	5397	1866
743	5403	1859
744	5410	1852
745	5417	1844
746	5427	1838
747	5433	1830
748	5441	1823
749	5447	1815
750	5454	1808
751	5461	1801
752	5467	1793
753	5475	1786
754	5481	1778
755	5488	1771
756	5495	1763
757	5501	1756
758	5509	1749
759	5515	1741
760	5523	1734
761	5529	1727
762	5535	1719
763	5543	1712
764	5549	1704
765	5558	1698
766	5564	1690
767	5572	1683
768	5578	1675
769	5584	1668
770	5592	1661
771	5599	1653
772	5608	1647
773	5615	1639
774	5623	1632
775	5629	1625
776	5637	1618
777	5643	1610
778	5650	1602
779	5657	1595
780	5663	1588
781	5671	1581
782	5677	1573
783	5685	1566
784	5691	1558
785	5697	1551
786	5705	1544
787	5711	1536
788	5719	1529
789	5725	1522
790	5734	1515
791	5741	1507
792	5748	1500
793	5755	1493
794	5761	1485
795	5769	1478
796	5776	1471
797	5785	1464
798	5793	1457
799	5800	1450
800	5807	1442
801	5816	1436
802	5823	1428
803	5831	1421
804	5838	1414
805	5844	1406
806	5851	1399
807	5857	1391
808	5865	1384
809	5872	1377
810	5879	1370
811	5886	1362
812	5892	1355
813	5899	1348
814	5906	1340
815	5914	1333
816	5920	1326
817	5926	1318
818	5934	1311
819	5941	1304
820	5949	1297
821	5955	1289
822	5963	1282
823	5970	1275
824	5976	1267
825	5983	1260
826	5989	1253
827	5997	1245
828	6004	1238
829	6013	1231
830	6020	1224
831	6028	1217
832	6035	1210
833	6043	1203
834	6051	1195
835	6061	1189
836	6068	1181
837	6076	1174
838	6083	1167
839	6090	1160
840	6098	1153
841	6105	1145
842	6113	1138
843	6119	1131
844	6127	1123
845	6133	1116
846	6140	1109
847	6146	1101
848	6153	1094
849	6160	1087
850	6166	1079
851	6174	1072
852	6180	1065
853	6187	1057
854	6193	1050
855	6200	1043
856	6207	1035
857	6214	1028
858	6222	1021
859	6229	1014
860	6235	1006
861	6243	999
862	6249	992
863	6257	985
864	6264	977
865	6271	970
866	6279	963
867	6287	956
868	6294	948
869	6301	941
870	6308	934
871	6314	926
872	6321	919
873	6328	912
874	6335	905
875	6341	897
876	6347	890
877	6355	883
878	6362	875
879	6370	868
880	6376	861
881	6383	854
882	6390	846
883	6396	839
884	6403	832
885	6410	824
886	6418	817
887	6425	810
888	6432	803
889	6438	795
890	6445	788
891	6452	781
892	6459	773
893	6466	766
894	6473	759
895	6479	752
896	6486	744
897	6493	737
898	6500	730
899	6506	722
900	6513	715
901	6520	708
902	6526	701
903	6534	693
904	6541	686
905	6549	679
906	6556	672
907	6566	665
908	6572	658
909	6581	650
910	6590	643
911	6598	636
912	6606	629
913	6614	622
914	6621	615
915	6630	608
916	6637	600
917	6645	593
918	6651	586
919	6659	579
920	6667	571
921	6675	564
922	6683	557
923	6690	550
924	6699	543
925	6706	535
926	6714	528
927	6721	521
928	6729	514
929	6749	508
930	6774	502
931	6794	495
932	6809	488
933	6820	481
934	6833	475
935	6840	467
936	6846	460
937	6853	452
938	6860	445
939	6866	438
940	6874	430
941	6880	423
942	6886	416
943	6895	409
944	6902	401
945	6910	394
946	6917	387
947	6925	379
948	6933	372
949	6941	365
950	6948	358
951	6957	350
952	6964	343
953	6972	336
954	6979	328
955	6986	321
956	6993	314
957	6999	306
958	7007	299
959	7013	292
960	7020	284
961	7026	277
962	7032	270
963	7041	262
964	7047	255
965	7055	248
966	7061	240
967	7069	233
968	7077	226
969	7083	219
970	7090	211
971	7097	204
972	7104	197
973	7111	189
974	7118	182
975	7124	175
976	7130	167
977	7137	160
978	7143	153
979	7150	145
980	7157	138
981	7163	131
982	7170	124
983	7176	116
984	7184	109
985	7190	102
986	7197	94
987	7204	87
988	7210	80
989	7218	72
990	7224	65
991	7231	58
992	7237	51
993	7243	43
994	7252	36
995	7259	29
996	7267	21
997	7273	14
998	7280	7
999	7286	0
